UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
5080,L54889,L,300.7,310.6,1480,32.4,181,0,0,0,0,0,0
3978,L51789,L,301.6,309.1,1539,59.1,56,0,0,0,0,0,0
237,L47633,L,298.1,309.2,1429,46.8,149,0,0,0,0,0,0
81,M15201,L,297.4,309.1,1452,30,196,0,0,0,0,0,0
5250,M21678,L,302.9,311.6,1567,44.6,168,0,0,0,0,0,0
5428,H33781,M,298.6,311.8,1866,23.8,65,0,0,0,0,0,0
8198,L56862,L,298.8,308.5,1410,58.3,106,0,0,0,0,0,0
8328,L51305,H,303.9,312.4,1767,41.3,205,0,0,0,0,0,0
4842,L53659,L,302.6,310.7,1436,30,205,0,0,0,0,0,0
4697,L51585,M,304,310.8,1675,32.8,71,0,0,1,0,0,0
6622,M17171,L,300.9,309.2,1519,39.2,216,0,0,0,0,0,0
8872,M24312,L,297.4,307.6,1733,29.6,62,0,0,0,0,0,0
8271,M20649,M,300.9,311.5,1362,57.3,54,0,0,0,0,0,0
2186,L49978,L,301.5,310.2,1642,36.9,60,0,0,0,0,0,0
4414,L51298,L,304.1,313,1689,46.4,41,0,0,0,0,0,0
7408,L53719,M,300.8,309.4,1755,34.4,203,0,0,0,0,0,0
2856,M17432,M,300.9,309.2,1463,45.8,209,0,0,0,0,0,0
7280,L56974,L,297.7,308.9,1330,52,105,0,0,0,0,0,0
4002,M21804,L,302,311.2,1665,27.3,36,0,0,0,0,0,0
4091,H37106,L,302,310.2,1380,55,167,0,0,0,0,0,0
610,L48858,L,298.4,308.6,1614,35.1,235,0,0,0,0,0,0
5703,L52325,L,304.2,311.1,1394,45.3,64,0,0,0,0,0,0
425,L48722,L,298.4,310.6,1513,41.1,203,0,0,0,0,0,0
3655,L47698,L,297.8,309.2,1510,36.1,155,0,0,0,0,0,0
1599,M18098,L,302.6,309.6,1554,36.5,163,0,0,0,0,0,0
8755,M24325,L,298.7,307.4,1493,40,87,0,0,0,0,0,0
2947,L49212,M,297.9,307.9,1542,35.6,85,0,0,0,0,0,0
216,L55707,L,298.1,307.6,1332,59.6,23,0,0,0,0,0,0
7583,L49085,L,300.4,311.2,1390,62.5,64,0,0,0,0,0,0
1,L56349,L,298.3,310.1,1686,29.9,47,0,0,0,0,0,0
607,M18424,L,299,310.4,1463,48.8,68,0,0,0,0,0,0
3740,M16472,M,303.8,308.3,1990,15.5,175,0,0,0,0,0,0
3930,L51793,L,304,311.3,1883,36.8,56,0,0,0,0,0,0
1,M15002,L,299,309.5,1613,31.5,97,0,0,0,0,0,0
4077,L52840,M,303.6,312.6,1547,41.4,179,0,0,0,0,0,0
2505,L51200,L,301.7,308.1,1520,52.6,19,0,0,0,0,0,0
4617,L53336,L,302.9,311.6,1439,29.4,209,0,0,0,0,0,0
2613,L48846,L,298.5,311.7,1624,37.5,94,0,0,0,0,0,0
7900,H37296,H,300.6,310.6,1692,31.5,152,0,0,0,0,0,0
4795,H32042,H,298.7,309.8,1508,45.4,100,0,0,0,0,0,0
4627,L51805,L,303.5,311.1,1607,30,188,0,0,0,0,0,0
9569,L57153,L,298.5,309,1326,65.4,103,0,0,0,0,0,0
7294,M18790,L,300.2,309,1417,48.3,15,0,0,0,0,0,0
9315,M24783,L,298.5,309.3,1348,36.6,16,0,0,0,0,0,0
2233,L53601,L,300.1,309.4,1693,35.2,192,0,0,0,0,0,0
8030,L56843,L,297.7,308.2,1781,34.2,112,0,0,0,0,0,0
687,L49241,L,300.7,309.7,1512,48.8,74,0,0,0,0,0,0
7175,L49818,L,300.5,309.4,1346,56.3,62,0,0,0,0,0,0
4069,L48576,L,299.4,307.7,1411,42.8,126,0,0,0,0,0,0
5094,L49165,L,298.8,306.6,1451,40,149,0,0,0,0,0,0
760,L48962,L,297.6,307.7,2124,35.3,213,0,0,0,0,0,0
1559,L50500,L,298.6,309,1314,50.3,19,0,0,0,0,0,0
3393,L51978,L,303.8,311.7,1679,38,78,0,0,0,0,0,0
5489,H37186,L,300.4,310.8,1921,29.1,150,0,0,0,0,0,0
5493,M21111,L,300.6,309.5,1337,50.6,79,0,0,0,0,0,0
3160,M21005,L,302.6,310.6,1664,40.1,206,0,0,0,0,0,0
7454,L47183,L,298.6,308.9,1746,20.4,158,0,0,0,0,0,0
4839,L54407,L,301.9,311.1,1350,73.8,164,0,0,0,0,0,0
1496,L50970,L,298.4,307.7,1574,29.1,46,0,0,0,0,0,0
7415,M23020,M,300.3,311.6,1528,33.6,29,0,0,0,0,0,0
6745,M18347,M,299.3,309.3,1876,22.2,50,0,0,0,0,0,0
6867,M15748,L,296.4,306.5,1424,41.5,37,0,0,0,0,0,0
6772,M15356,L,298.6,308.4,1384,30.9,121,0,0,0,0,0,0
9135,M23501,L,297.9,309.3,1804,30.7,149,0,0,0,0,0,0
1785,L49434,L,298.3,309.3,1653,40.1,142,0,0,0,0,0,0
6330,M21554,M,301,311.2,1818,24.1,100,0,0,0,0,0,0
7347,M19098,L,300.9,310.5,1527,39.2,92,0,0,0,0,0,0
1963,M18953,M,299.6,310.3,2187,26.1,82,0,0,0,0,0,0
4936,M21119,L,304.1,309.1,1692,34.4,96,0,0,0,0,0,0
1424,H31178,L,298,307.9,1371,57.2,39,0,0,0,0,0,0
934,M15856,L,298.7,306.3,1938,22.8,193,0,0,0,0,0,0
1704,L50504,M,298.5,309.5,2519,15.9,75,0,0,0,0,0,0
9256,M23505,L,297.7,308.5,1802,25,45,0,0,0,0,0,0
3475,L55348,L,301.9,312,1350,56.4,91,0,0,0,0,0,0
4596,L53008,M,303.2,312.1,1513,29.8,87,0,0,0,0,0,0
6250,M15509,M,301,309.7,1337,76.5,221,0,0,0,0,0,0
2166,L47201,L,298.4,309.4,1487,24.8,93,0,0,0,0,0,0
4257,H33816,L,302.5,312.3,1852,35.5,76,0,0,0,0,0,0
2846,L50858,L,300.6,309.4,1569,28.6,216,0,0,0,0,0,0
7971,M22315,L,302.9,311,1342,51.1,106,0,0,0,0,0,0
7631,L52338,L,302.3,309.1,1769,31.6,135,0,0,0,0,0,0
3641,L54779,M,302.6,310.5,1471,26.6,76,0,0,0,0,0,0
4853,M15570,M,298.8,308.3,1828,24.6,91,0,0,0,0,0,0
2293,M18581,L,302.4,310.8,1452,31.9,187,0,0,0,0,0,0
2408,M22285,L,300.5,311.6,1818,20.1,66,0,0,0,0,0,0
3662,L55227,M,300.2,311.1,1822,10.2,40,0,0,0,0,0,0
3249,L49997,M,298.6,308.8,1623,35.8,86,0,0,0,0,0,0
4962,M20561,L,303.4,311.8,1510,22,99,0,0,0,0,0,0
7911,L48831,L,300.3,313.1,1384,47.1,60,0,0,0,0,0,0
3479,M22192,M,301.1,309.5,1408,42.9,22,0,0,0,0,0,0
3625,L47506,L,298.3,309.5,1719,30.2,165,0,0,0,0,0,0
5439,H37282,L,300.6,310.6,1684,23.4,170,0,0,0,0,0,0
953,L47628,M,298.9,308.7,2411,16.7,155,0,0,0,0,0,0
5021,L47834,L,298.3,309.2,1700,18.5,227,0,0,0,0,0,0
1888,M18671,L,300.1,311.4,1593,51.4,208,0,0,0,0,0,0
8580,L55841,L,298.6,308.8,1302,66.7,222,1,0,0,0,1,0
572,L48684,L,299,306.2,1418,27.3,41,0,0,0,0,0,0
9550,M24285,L,298.5,309.5,1601,54.8,58,0,0,0,0,0,0
7706,M20667,L,301,311.4,1352,49.3,106,0,0,0,0,0,0
3821,L53895,L,302.8,311,1465,34.3,93,0,0,0,0,0,0
1407,L49218,M,297.8,307.7,1388,46.2,61,0,0,0,0,0,0
5890,H37262,L,301,310.6,1734,34.7,68,0,0,0,0,0,0
3749,L55025,L,300.8,310.9,1555,60.5,127,0,0,0,0,0,0
8084,L47975,M,299.1,310.3,1502,22.7,147,0,0,0,0,0,0
1262,H31483,L,300.7,309.3,1732,28.4,59,0,0,0,0,0,0
2605,L50664,L,301.5,309.2,1371,35.3,132,0,0,0,0,0,0
343,H29874,L,299.5,309.4,1493,26.7,191,0,0,0,0,0,0
1838,L47854,M,297.8,307.3,1426,51.1,84,0,0,0,0,0,0
1099,M16236,L,301.7,309.1,1748,15.4,154,0,0,0,0,0,0
7650,M22467,M,300.5,310.7,1428,27.3,44,0,0,0,0,0,0
8505,H39228,L,298.4,307.8,1355,46.3,85,0,0,0,0,0,0
1,L51644,L,298.7,306.6,1902,40.8,195,0,0,0,0,0,0
3863,L51792,L,303,310,1700,26,41,0,0,0,0,0,0
5734,M20971,M,304.2,313.1,1607,46,134,0,0,0,0,0,0
5182,L52784,M,298.7,313.2,1697,48.4,41,0,0,0,0,0,0
936,M18618,L,300.2,309.3,1371,53.7,78,0,0,0,0,0,0
7514,L47212,L,301.1,309.9,1654,28.9,201,0,0,0,0,0,0
1160,M17836,M,300,309.1,1550,31.5,76,0,0,0,0,0,0
891,L51251,L,300.7,310.8,2671,17,87,1,0,0,0,0,0
7986,L50764,L,301,311.6,1452,34,145,0,0,0,0,0,0
9788,M24414,L,299.5,309.4,1395,55.3,180,0,0,0,0,0,0
8535,H39169,L,298.7,309.5,1328,55.7,88,0,0,0,0,0,0
274,L47273,M,298.9,307.7,1897,25,220,0,0,0,0,0,0
3319,M15506,L,298.7,307.8,1259,65.9,187,0,0,0,0,0,0
5674,L53718,H,300.8,311,1343,52.4,174,0,0,0,0,0,0
3139,L53611,L,299.3,310.1,1409,38.9,47,0,0,0,0,0,0
7536,H37573,L,300.5,311,1429,46,89,0,0,0,0,0,0
7444,L51545,L,300.3,310.9,1412,48,198,0,0,0,0,0,0
2156,M17473,L,301.9,309.2,1655,28.3,38,0,0,0,0,0,0
7894,L54406,L,303.6,311.3,1620,39.7,63,0,0,0,0,0,0
4071,M15356,H,302.2,310.6,1453,44.1,47,0,0,0,0,0,0
5729,H36528,L,301.1,311.2,1461,39.6,73,0,0,0,0,0,0
3638,L53268,L,303.9,312.7,1563,28.4,162,0,0,0,0,0,0
9662,L57126,L,298.8,308.8,1371,59.3,232,0,0,0,0,0,0
4694,L52311,L,299,309.2,1560,38,199,0,0,0,0,0,0
713,L47594,H,298.5,307.2,1675,28.7,205,0,0,0,0,0,0
3637,M15341,M,299.1,309.2,1705,27.3,175,0,0,0,0,0,0
872,L48683,L,297.8,307.5,1984,34.3,0,0,0,0,0,0,0
7051,L47894,L,297.3,308.3,1493,47.1,185,0,0,0,1,0,0
7975,L56876,L,297.5,307.8,2563,19,49,0,0,0,0,0,0
1316,H31393,H,299.3,307.5,1359,46.3,193,0,0,0,0,0,0
444,L51624,L,301,309.6,1453,42.4,203,0,0,0,0,0,0
440,M15329,L,296.5,305.7,1833,33,139,0,0,0,0,0,0
5890,L54971,L,300.5,311.1,1481,52.6,203,0,0,0,0,0,0
7933,L52608,L,301,310.8,1735,31.9,113,0,0,0,0,0,0
1103,M16370,L,298,308.1,1469,40.4,106,0,0,0,0,0,0
3728,H37009,L,302,311.4,1628,33.5,72,0,0,0,0,0,0
4498,L53038,L,303.4,313.3,1389,65.8,179,0,0,0,0,0,0
6269,M18986,L,303.8,309.6,1461,49.6,52,0,0,0,0,0,0
9606,L57117,L,297.4,309.1,1345,32,65,0,0,0,0,0,0
7047,L54950,L,300,311.3,1415,48.9,106,0,0,0,0,0,0
3391,L49716,L,301.7,309.7,1456,54.6,75,0,0,0,0,0,0
2888,M15212,M,301.1,309.4,1731,41.3,168,0,0,0,0,0,0
9002,L56847,L,299.1,308.4,1737,45.7,80,0,0,0,0,0,0
9198,M16590,L,297.6,307.7,1692,23.7,73,0,0,0,0,0,0
458,H31178,L,303.1,308,1563,31.7,217,0,0,0,0,0,0
3441,L48338,L,299.4,308.7,1635,55.6,186,0,0,0,0,0,0
8059,L50560,L,301.7,310.1,1399,47.9,196,0,0,0,0,0,0
956,L49836,L,302.2,311.6,1794,19.3,147,0,0,0,0,0,0
9644,L56609,L,298.3,308.6,1415,54.3,153,0,0,0,0,0,0
2872,L53713,L,301.1,310.8,2046,20.6,13,0,0,0,0,0,0
6897,M19393,L,301.4,310.6,1581,42.6,91,0,0,0,0,0,0
2960,L47706,H,300.5,311.6,1469,50.5,110,0,0,0,0,0,0
7818,L56653,L,302.5,310.2,1513,32.2,48,0,0,0,0,0,0
4662,L51801,L,303.9,310.5,1641,23.8,190,0,0,0,0,0,0
2527,L49613,H,301.8,309.2,1763,36,137,0,0,0,0,0,0
9188,M24538,L,298.3,308.8,1679,37.1,51,0,0,0,0,0,0
5453,L54484,L,300.5,310.8,1440,38.2,186,0,0,0,0,0,0
1780,M18586,L,298.4,309.1,2325,21.7,103,0,0,0,0,0,0
4836,L55021,M,302.6,311.4,1419,44.2,84,0,0,0,0,0,0
1,M15867,L,295.6,306.2,1413,45.4,16,0,0,0,0,0,0
5488,L54524,L,300.8,311.3,1602,55.5,67,0,0,0,0,0,0
8911,M24827,L,298.1,307.6,1746,51.4,63,0,0,0,0,0,0
199,L47334,M,300.1,309.2,1344,52.9,114,0,0,0,0,0,0
111,L50936,L,298.9,309.2,1686,23.9,102,0,0,0,0,0,0
2170,L54188,L,302.5,310.8,1648,32.3,82,0,0,0,0,0,0
1248,M17739,M,299.8,309.1,1472,49.4,66,0,0,0,0,0,0
3381,L51329,L,302.5,311.4,1450,42.8,219,0,0,0,0,0,0
8670,H37691,M,299,308.6,1542,20.3,73,0,0,0,0,0,0
3225,L54715,L,300.7,310.3,1856,16.6,67,0,0,0,0,0,0
7398,M23547,L,298.9,308.8,1401,54.9,169,0,0,0,0,0,0
2850,L51643,L,302.3,312.7,1419,39.8,47,0,0,0,0,0,0
7810,L56797,L,298.2,310.9,1395,54.8,163,0,0,0,0,0,0
4202,L51022,L,302.4,309,1401,46.3,116,0,0,0,0,0,0
7584,L48392,M,299.2,309.5,1631,45.1,32,0,0,0,0,0,0
4625,M21267,L,301,310.1,1757,28.7,175,0,0,0,0,0,0
8035,L50870,L,300.2,309.5,1623,31.6,176,0,0,0,0,0,0
9340,L56489,L,298.2,307.7,1383,18.3,132,0,0,0,0,0,0
2914,M19610,L,302.3,312.9,1533,38.7,89,0,0,0,0,0,0
5597,L51651,L,304.1,312.4,1399,58,92,0,0,0,0,0,0
9023,M23389,M,299,308.9,1384,44.4,39,0,0,0,0,0,0
8432,L56130,L,298.4,309.3,1455,45.2,162,0,0,0,0,0,0
6087,L53845,L,300.7,311.8,1439,40,189,0,0,0,0,0,0
7040,H37121,L,301.6,311,1447,30.8,211,0,1,0,0,0,0
4391,L49196,L,297.3,312,1302,52.7,26,0,0,0,0,0,0
4710,M22079,M,301.1,311.1,1624,34.4,76,0,0,0,0,0,1
7659,M16796,L,298.8,309.1,1369,60,156,0,0,0,0,0,0
7971,L54630,L,300.3,310.2,1455,45.5,38,0,0,0,0,0,0
1983,L47437,L,298.4,308.8,1498,37.3,49,0,0,0,0,0,0
9429,L55965,L,297.4,308.9,2059,7.5,40,0,0,0,0,0,0
7711,M19544,M,299.9,310.2,1693,51.7,82,0,0,0,0,0,0
4895,L55231,H,301.3,312.7,1361,51.5,95,0,0,0,0,0,0
4648,L53343,L,302.1,310.6,1600,30.1,210,1,0,0,0,0,0
1,H30936,L,297.5,309,1459,48.1,88,0,0,0,0,0,0
4686,M18926,L,298.7,310.6,1547,22.5,71,0,0,0,0,0,0
9612,M24281,L,298.8,308.8,1615,38.1,25,0,0,0,0,0,0
1342,M22729,L,301.4,309.4,1781,42.3,207,0,0,0,0,0,0
4011,L51328,L,304.2,312.5,1434,48.9,33,0,0,0,0,0,0
584,L49044,L,298.7,308.8,1333,52.4,109,1,0,0,0,0,0
2529,L49592,L,301,309.3,1522,35.2,19,0,0,0,0,0,0
4149,L54168,L,301.2,311.6,1430,45.1,78,0,0,0,0,0,0
8644,H39206,M,298.8,309.2,1685,36.5,119,0,0,0,0,0,0
1686,L54920,L,300.2,310.2,1649,41.3,217,0,0,0,0,0,0
1740,L57157,L,298.5,311.8,1589,58.3,45,0,0,0,0,0,0
8626,L56610,M,297,309.3,1418,44,34,0,0,0,0,0,0
6357,L50561,L,302.2,310.6,1664,29.4,74,0,0,0,0,0,0
6825,L54779,L,301.6,309.8,1555,37,212,0,0,0,0,0,0
4150,L54407,M,301.6,311.4,1391,46.8,204,0,0,0,0,0,0
3713,L54992,M,301.1,311.7,1487,34.9,31,0,0,0,0,0,0
7581,L55253,L,301.2,311.4,1616,40.6,105,0,0,0,0,0,0
39,L55458,L,297.6,307.9,1416,56.6,21,0,0,0,0,0,0
8132,L48968,H,297.3,308.2,1408,29.3,38,0,0,0,0,0,0
8103,M22467,H,301.5,310.1,1739,25,101,0,0,0,0,0,0
2821,H33604,L,302,309.2,1321,65.9,46,1,0,1,0,0,0
8415,L55577,L,297.9,308.5,1432,24.5,13,0,0,0,0,0,0
1640,L48874,H,297.8,309,2693,19,172,0,0,0,0,0,0
8334,H37338,L,300.7,310.8,1473,29.3,65,0,0,0,0,0,0
1,M15570,L,297.5,308,1338,56.4,45,0,0,0,0,0,0
4405,H34769,L,303.6,312.4,1561,33.5,157,0,0,0,0,0,0
5218,L53629,L,301.5,310.3,1805,30.6,30,0,0,0,0,0,0
7412,L55298,L,300.8,311.4,1371,39.6,167,0,0,0,0,0,0
9078,M23265,L,299.1,308.2,1866,17.4,141,0,0,0,0,0,0
560,H30011,L,297.6,309,1464,42.9,217,0,0,0,0,0,0
3499,M22636,L,302.7,311.7,1479,36.6,116,0,0,0,0,0,0
1041,L49480,L,298.3,308.9,1557,49.2,14,0,0,0,0,0,0
137,L49122,H,297.3,307.8,2031,38.6,148,0,0,0,0,0,0
3791,L52479,L,303.9,313.1,1328,28.6,112,0,0,0,0,0,0
5873,M20809,L,304.1,313.2,1464,46.5,67,0,0,0,0,0,0
7634,L54836,L,300.8,308.9,1706,55.3,136,0,0,0,0,0,0
7801,L49693,L,300.8,308.4,1606,52.7,37,0,0,0,0,0,0
9263,L57002,M,297.7,308.4,1444,44.1,90,0,0,0,0,0,0
1054,L50970,H,298.3,308.6,1699,21.6,116,0,0,0,0,0,0
7672,H32448,L,300.6,308.5,1450,52.5,71,0,0,0,0,0,0
3100,L49240,L,302.9,310.1,1680,50.3,77,0,0,0,0,0,0
3874,H37390,L,300.8,310.7,1583,43.9,26,0,0,0,0,0,0
1680,L47833,M,300,307.9,1603,38.2,63,0,0,0,0,0,0
1741,M16922,L,301.3,310.5,2085,14,208,0,0,0,0,0,0
7765,M15227,L,298.9,308.8,1359,52.4,137,0,0,0,0,0,0
249,M15586,L,295.3,307.5,1852,37.7,56,0,0,0,0,0,0
2299,L51260,M,300.8,310.1,1423,47.6,54,0,0,0,0,0,0
2775,L53361,L,302.5,309.1,1334,49.6,73,0,0,0,0,0,0
221,M15570,L,297.7,308.4,1410,60.5,161,0,0,0,0,0,0
1,L47386,L,298.9,307.6,1843,36.7,69,0,0,0,0,0,0
2902,L55128,L,300.8,311.1,1456,37.1,150,0,0,0,0,0,0
264,M16026,M,297.8,307.8,1506,23.3,69,0,0,0,0,0,0
3526,M18992,M,302.6,309.7,1658,44.9,152,0,0,0,0,0,0
7447,L54719,L,302.2,309.7,1578,27.5,26,0,0,0,0,0,0
6304,M21259,L,302.6,309.6,1738,24.6,216,0,0,0,0,0,0
7601,L52551,M,300,309.2,1758,31.5,213,0,0,0,0,0,0
8191,L48221,L,296.8,307.3,1407,50.1,75,0,0,0,0,0,0
4472,L53846,M,301.7,309.2,1357,75.5,86,0,0,0,0,0,0
2432,L53583,L,301.3,310.8,1419,52.2,171,0,0,0,0,0,0
888,L50419,L,298.5,309.4,1378,48.4,73,0,0,0,0,0,0
4965,M22573,L,300.8,312,1530,50.3,128,0,0,0,0,0,0
4816,L52490,L,300.7,310.9,1548,37.2,67,0,0,0,0,0,0
1219,L48956,L,297.1,307.9,1376,75,99,0,0,0,0,0,0
7417,M18830,L,299.8,310.5,1372,38.5,28,0,0,0,0,0,0
2162,M17463,L,299.8,309.2,1538,49.7,176,0,0,0,0,0,0
1,M17771,L,302.4,309.6,1449,39,82,0,0,0,0,0,0
2028,L48858,L,298.2,311.2,1459,47.8,77,0,0,0,0,0,0
2071,L49572,L,302.6,310.9,1418,39.8,47,0,0,0,0,0,0
7378,M16903,L,300.7,307.7,1455,42.2,160,0,0,0,0,0,0
8079,M24552,L,299.5,309.8,1372,55.1,28,0,0,0,0,0,0
1078,L49282,L,302.7,310.2,1716,21,200,0,0,0,0,0,0
8571,M15196,L,298.8,308.2,1357,44.8,115,1,0,0,0,1,0
2177,L50017,L,300.4,309.5,1516,42,146,0,0,0,0,0,0
3580,M21355,M,301.2,310.6,1395,43.3,86,0,0,0,0,0,0
4396,L52833,L,304.2,311.2,1667,47.1,169,0,0,0,0,0,0
5003,L53850,L,302.6,309.1,1612,26.1,78,0,0,0,0,0,0
6591,L54920,M,300.5,311.4,1612,34.9,118,0,0,0,0,0,0
2695,L48152,L,296.6,311.1,1473,46.7,57,0,0,0,0,0,0
398,L47259,L,298,309.3,1385,41.3,39,0,0,0,0,0,0
8330,M17487,L,298.4,308.5,1450,40.2,151,0,0,0,0,0,0
7526,L53331,L,301.7,311.2,1545,44.5,196,0,0,0,0,0,0
5762,M19462,L,303.8,312.8,1429,59.1,56,0,0,0,0,0,0
1073,L49712,L,301.3,309,2229,31.3,68,0,0,0,0,0,0
2119,M16616,L,299.1,309,1550,49.7,43,0,0,0,0,0,0
2735,L55034,L,302.6,311.3,1625,30.1,76,0,0,0,0,0,0
4177,L51768,L,298.7,308.4,1290,48.9,52,0,0,0,0,0,0
3420,L53586,L,303,311.9,1508,21,27,0,0,1,0,0,0
3655,L50898,L,302.8,310.8,1490,48.3,84,0,0,0,0,0,0
7829,H38469,L,296.9,308.1,1528,38,52,0,0,0,0,0,0
2568,M19436,L,297.7,310.8,1690,31.4,132,0,0,0,0,0,0
2482,H33506,L,298.6,308.4,1437,35,68,0,0,0,0,0,0
8409,M21261,L,302.3,310.5,1742,55.6,151,0,0,0,0,0,0
2856,L51290,L,302.7,310.6,1657,48.6,71,0,0,0,0,0,0
958,H31178,L,297.4,307.6,1409,45.8,107,0,0,0,0,0,0
6945,L48700,M,297.9,309.5,1474,21,49,0,0,0,0,0,0
8374,L57026,L,298.8,309.8,1276,68.4,79,0,0,0,0,1,0
7971,M23613,L,298.7,309,1375,44.4,108,0,0,0,0,0,0
9166,L56614,L,298.7,308,1328,35.5,88,0,0,0,0,0,0
9535,M24541,L,297.4,307.6,1421,50.7,23,0,0,0,0,0,0
3054,M21009,M,302.9,310.4,1353,53.8,140,0,0,0,0,0,0
620,L49212,M,297.7,307.9,2689,17,130,1,0,0,1,0,0
8565,L57161,M,298,309,1590,16.2,84,0,0,0,0,0,0
8419,L48061,M,298.1,309.5,1407,43.9,130,0,0,0,0,0,0
519,L47311,L,298.4,307.6,1473,37.4,68,0,0,0,0,0,0
5198,L52607,L,302.4,312.1,1405,34.2,45,0,0,0,0,0,0
6285,L52330,L,301.2,310.6,1466,46.1,167,0,0,0,0,0,0
1872,M16888,L,295.5,312.6,1733,30,7,0,0,0,0,0,0
2458,L48218,L,298.7,308.3,1688,50.5,180,0,0,0,0,0,0
1731,L51020,L,302.4,309.3,1472,34.3,101,0,0,0,0,0,0
8282,L53022,L,300.3,311.3,1328,48.9,179,0,0,0,0,0,0
1574,M18483,L,301.2,310.7,1618,36.5,159,0,0,0,0,0,0
1035,L49190,L,297.8,310.9,1441,47.1,60,0,0,0,0,0,0
1567,L49212,L,298.4,311.4,1636,27.9,171,0,0,0,0,0,0
1019,L51243,L,299.8,307.7,1514,28.2,12,0,0,0,0,0,0
5521,L51612,L,299.3,309.1,1608,53.3,73,0,0,0,0,0,0
7692,M22470,H,300.9,311.3,1392,57.5,83,0,0,0,0,0,0
5522,L54836,L,300.7,310.5,1639,40,18,0,0,0,0,0,0
840,L51537,L,303.6,309.6,1410,47.7,24,0,0,0,0,0,0
7450,M20347,L,300.4,312,1426,43.9,173,0,0,0,0,0,0
2940,M18618,L,298.4,309.6,1320,46.2,109,0,0,0,0,0,0
7601,L53188,L,300.5,310.3,1807,54.3,105,0,0,0,0,0,0
1057,L47570,L,299.2,309.1,1501,33.2,174,0,0,0,0,0,0
4490,H33894,L,303.2,311.2,1853,28.5,50,0,0,0,0,0,0
7487,L57156,L,297.9,310.4,1378,47.6,148,0,0,0,0,0,0
2342,L49707,L,302.5,309.3,1401,53.5,166,0,0,0,0,0,0
1718,H31595,L,299,309.5,1667,37.1,218,0,0,0,0,0,0
1900,L49165,L,297.6,307.6,1689,38,92,0,0,0,0,0,0
1805,M15369,M,298.8,308.7,1485,29.2,50,0,0,0,0,0,0
7227,L49565,L,300.1,310.4,1446,41.1,23,0,0,0,0,0,0
4328,M21835,H,301.2,311.1,1505,40.3,165,0,0,0,0,0,0
9203,M23393,L,297.8,309.1,1406,40.6,206,0,0,0,0,0,0
149,L49196,L,298.8,313,1372,61.8,72,0,0,0,0,0,0
