Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power
H,312,300,1780,7,122,10914
M,348,315,2031,79,35,45477
M,323,316,2468,17,132,52398
H,273,306,2865,60,85,37162
H,276,304,2180,9,210,28622
L,327,303,1432,67,12,45892
L,262,318,1755,36,1,22344
L,304,301,2306,79,223,72716
H,289,311,1805,68,50,69017
M,271,317,2870,55,233,10739
H,340,312,1820,29,179,73121
M,325,318,2725,46,49,50878
L,253,317,1475,78,93,62861
M,287,310,2341,37,154,88467
H,307,312,1160,53,81,39640
M,315,309,2919,70,41,90295
M,312,317,2967,35,70,44024
M,334,304,2713,23,144,29959
L,254,312,1564,15,51,19581
L,295,319,1637,56,200,17006
L,262,318,1348,78,38,57182
L,326,313,2383,27,137,12038
H,306,308,2633,40,212,37199
M,256,316,1527,53,113,38142
H,327,317,2041,28,54,71759
H,294,317,2904,17,143,30070
L,285,304,2745,48,62,25681
H,348,303,1893,12,162,15571
H,349,301,1469,9,150,68953
L,260,311,1822,59,68,57562
M,308,302,1822,8,183,99468
H,277,304,1363,72,100,74728
L,347,307,2866,42,172,80036
M,288,305,1198,75,141,96546
H,319,318,2243,74,238,23672
M,295,319,1648,24,196,89973
H,271,311,1311,71,75,56631
H,292,307,1909,55,142,22360
M,297,306,1625,19,114,99966
H,336,320,2418,70,80,37102
H,341,310,1314,44,155,39759
M,254,314,1347,72,37,22140
L,251,311,1855,10,119,75238
M,314,313,2946,40,199,16985
M,306,320,1994,22,47,46757
M,343,308,2594,70,119,41108
M,258,312,2261,3,16,52184
L,296,303,1878,63,254,81447
H,346,313,1774,66,106,68323
M,282,308,2037,44,79,83800
L,251,313,1633,31,38,80443
H,262,308,2205,40,234,92722
M,256,306,2384,55,244,43749
H,316,309,1725,77,36,45514
L,289,305,2812,67,13,11700
M,349,318,1302,53,139,61929
L,279,310,1331,10,61,31086
L,271,307,1156,21,4,35154
L,262,301,1964,49,210,25011
H,349,313,1876,76,68,34572
M,251,306,1674,34,48,67763
H,345,314,1431,48,143,35239
H,333,318,2243,41,30,65113
M,345,319,2358,63,223,51498
L,301,311,1264,24,89,96290
L,288,319,2811,18,52,29623
H,283,315,1320,79,226,59736
L,328,318,2053,48,127,86885
H,255,305,2233,61,62,81071
L,301,310,2385,51,84,52058
M,283,318,1424,53,139,82403
L,341,310,2420,75,85,94525
L,253,303,1944,40,78,21244
L,325,320,2582,65,88,31788
M,330,307,1314,27,49,22884
L,253,318,2946,6,45,50920
H,350,309,2744,34,124,88065
L,320,306,1612,31,159,81488
H,341,311,2794,27,93,99570
M,317,316,2851,4,165,27307
L,291,317,1568,75,130,61022
L,269,311,2695,45,210,50341
H,261,311,1777,23,248,31901
M,321,303,1814,36,118,71590
H,271,312,1338,72,146,20768
M,288,314,1977,12,76,77341
M,277,303,2892,42,13,27517
H,261,311,2127,7,223,87570
L,255,310,2192,59,13,66928
M,279,305,1664,19,194,44764
L,252,305,1277,32,121,76084
L,321,310,2265,21,214,24663
L,309,304,2996,69,72,95913
M,314,308,1714,42,70,45169
M,349,301,2605,62,61,62509
M,280,302,1758,60,40,17963
L,250,303,2952,56,124,15746
M,297,300,2831,43,100,70152
H,300,304,1648,25,246,48172
L,322,314,2420,50,213,50298
L,348,317,1190,8,246,68875
M,346,300,2056,48,146,29509
M,254,317,1887,69,179,46224
M,303,301,2277,51,38,20809
M,335,313,2951,41,223,18725
H,277,313,2908,64,112,76393
H,350,300,1880,40,85,83718
L,327,309,2820,24,17,53316
L,346,313,1994,75,68,37784
M,325,310,2570,25,209,28656
H,280,310,1889,32,199,79919
H,269,304,2555,11,112,65814
H,324,314,2477,57,127,34770
L,304,308,2192,68,137,92123
L,258,304,2200,63,13,76835
H,322,314,2527,8,234,19488
H,272,317,2974,18,171,69122
H,328,316,2436,39,229,46433
L,349,307,2178,55,233,65763
M,322,308,2513,65,47,81541
M,348,316,2495,69,140,47915
H,287,303,2024,14,49,18237
H,332,305,2630,5,99,29998
H,307,316,2855,47,95,68881
L,306,312,2358,71,20,90797
M,266,306,1215,57,224,22025
M,326,318,1607,30,19,26985
M,259,308,2911,29,52,85819
H,341,301,2609,41,229,12521
M,288,309,1509,47,88,37617
L,265,301,1982,63,75,38061
H,307,316,1254,36,100,80985
H,338,312,2049,67,211,38600
L,269,309,1945,49,166,94847
L,346,300,2286,79,226,95609
H,317,307,2794,6,177,52461
H,324,317,2356,79,15,16228
H,271,317,1992,49,254,86381
L,273,319,1721,19,26,15086
L,278,300,2892,22,37,15113
M,271,301,2143,28,155,42222
H,264,307,1805,46,223,25816
L,320,300,1557,33,45,60534
L,299,304,2763,39,146,51410
L,252,309,2544,64,192,10542
H,345,313,2973,15,255,83938
H,344,320,2948,12,95,97702
H,297,304,2321,26,89,19635
L,326,313,2497,31,91,36958
L,336,309,2760,36,238,42465
M,268,302,2474,54,117,79139
L,250,318,2197,38,126,56174
M,283,308,1408,8,236,72968
M,318,307,1820,40,142,13059
L,263,303,1872,54,189,61943
H,287,304,1627,60,252,30224
M,348,318,1712,35,183,63487
L,307,310,1792,19,122,25902
H,263,300,1565,54,149,96634
H,253,314,2511,52,176,94505
M,323,315,2454,67,175,73287
H,340,301,2344,30,119,21783
L,277,304,2096,19,61,45864
M,335,319,1874,28,174,96444
L,272,317,1714,10,50,19383
M,292,313,2993,7,212,61340
H,347,314,1409,25,108,18331
M,330,320,2527,10,90,47002
M,317,317,1154,29,67,52109
L,250,303,2650,33,116,34318
M,307,311,2044,67,159,85495
H,328,314,1480,63,14,23204
H,315,308,2332,39,120,22033
L,276,306,2668,21,130,68149
H,293,307,1768,80,82,55092
L,265,304,1445,46,27,57218
H,320,309,1906,64,236,72557
M,291,317,1928,74,8,73539
L,343,309,2623,79,111,10658
M,265,315,2598,35,154,73041
L,348,319,2064,22,2,39130
H,336,314,1235,38,37,85903
L,258,318,2372,66,145,40469
H,329,302,1805,40,49,40836
M,349,303,1158,40,61,18348
M,302,304,2845,29,232,95163
M,292,320,2498,33,166,14159
M,322,308,1293,12,162,87014
H,269,309,2464,41,211,44984
M,285,314,1358,40,22,33875
M,281,310,2959,14,118,37387
M,316,313,1108,24,113,78813
H,336,316,1255,71,195,79142
H,277,311,1619,54,77,77032
M,280,310,2349,6,211,31293
L,280,315,1382,68,188,54843
M,254,315,2374,62,245,39948
M,297,300,1245,20,195,58149
L,317,302,1987,58,22,78459
H,289,311,2156,10,226,49876
M,278,314,1971,9,158,46313
H,260,311,1725,29,236,78967
M,283,317,1938,78,134,70263
H,305,312,2155,43,217,92189
L,297,306,1964,35,2,19761
H,296,319,2946,78,53,13988
L,250,316,1802,72,6,37837
H,323,310,1843,55,222,22519
L,289,304,1475,53,28,59025
H,279,315,2356,78,254,11592
H,316,306,2388,69,19,73114
L,327,320,2483,21,253,22077
H,314,317,2489,74,89,29811
H,261,314,1592,24,209,33813
H,265,320,2195,26,199,17448
H,281,315,2801,56,176,93203
M,291,317,2755,10,244,23608
L,307,309,1103,18,210,91524
M,275,306,1404,63,124,58895
L,305,320,2692,9,172,29274
L,299,306,1523,77,194,63754
M,269,311,2306,39,119,80317
H,266,316,2367,39,78,53486
H,270,307,2381,23,156,34492
M,330,309,1315,59,173,51853
H,326,302,2621,18,103,98214
M,265,319,2702,51,136,25787
H,337,314,1775,14,4,76877
L,319,320,2123,76,59,99050
H,272,312,1150,21,170,95619
H,298,311,1813,33,199,52594
M,258,315,1150,29,78,33629
L,318,319,2683,62,97,61712
L,297,312,2254,57,132,90641
L,312,300,1811,48,196,43818
M,305,319,1624,61,190,31030
M,252,306,1558,46,100,77199
L,272,314,1142,44,157,25637
L,327,311,1958,28,133,96316
H,273,311,2088,30,92,85459
M,253,316,1754,70,129,61934
M,318,316,2575,59,114,10595
L,294,306,2583,54,76,34139
H,275,314,1652,59,171,82110
M,325,313,2143,9,109,23819
L,321,312,2298,51,192,55043
L,348,316,2529,53,168,47091
L,296,316,1713,72,44,20357
M,289,320,2358,7,21,12160
L,270,302,2120,42,211,52216
H,255,320,1882,47,123,63593
L,319,309,2974,34,195,75281
L,255,308,1669,4,24,49752
M,318,307,1180,10,138,12064
M,291,317,1737,14,131,19444
H,333,308,2017,40,112,87875
H,265,316,1359,24,118,89630
H,291,308,2241,21,27,34036
H,292,313,2378,3,197,25095
H,303,301,2780,25,133,46017
H,317,318,2525,37,76,39506
L,257,305,2442,10,167,54584
H,290,310,2359,6,91,80851
L,288,302,2691,80,29,89317
L,296,305,2610,48,148,23325
L,326,309,1856,5,29,98973
M,318,309,2885,50,166,24308
H,299,316,1379,69,54,74032
M,316,309,2218,23,229,36904
H,339,312,1639,4,220,24117
L,255,309,2177,39,218,11000
M,264,308,1578,55,135,67226
H,271,318,2521,32,204,49310
L,300,313,1744,16,129,74139
L,348,302,2242,63,33,22092
L,300,312,1766,40,39,95448
H,312,307,1419,24,140,80230
M,267,311,2632,75,31,44193
H,303,304,2943,35,208,71953
M,282,314,2425,15,46,94557
M,333,310,2120,20,191,81054
H,267,303,2879,57,111,35107
M,277,316,2060,13,244,91406
H,250,315,1994,6,195,14399
M,288,312,1830,18,145,32872
M,253,317,2777,7,255,76832
L,334,320,1339,60,22,28666
L,261,304,1512,12,177,57069
H,350,300,1235,28,166,32313
H,348,300,1817,72,228,15429
L,329,310,1702,27,71,86960
L,332,319,2392,48,24,98755
H,277,300,1443,73,132,15895
H,256,304,1433,72,104,40408
M,288,304,2697,57,66,95712
M,347,305,2451,70,10,63228
L,276,307,1996,4,61,54933
M,320,315,2564,17,101,77643
M,276,307,2477,68,196,69443
H,333,317,1966,44,207,31454
M,331,308,2610,26,221,90526
L,338,306,2594,75,121,25731
L,253,319,2565,12,159,32723
L,266,318,2366,10,149,18928
L,278,315,2339,22,103,70298
M,342,312,2942,44,168,97832
M,346,305,2374,22,194,71362
M,329,320,2889,78,250,41719
H,319,305,1565,67,88,94508
M,271,308,1907,62,99,40184
H,286,307,2916,60,168,99648
H,272,316,1494,65,207,28274
M,316,302,2893,18,2,33607
H,319,319,2918,20,67,21231
H,292,314,2530,55,102,11813
M,270,306,2345,58,252,25884
H,318,311,2084,69,198,47708
L,331,311,2181,4,179,41581
M,302,318,2225,20,21,16238
H,344,312,2058,16,68,59202
L,322,312,1159,60,99,43068
H,333,306,1604,54,255,14041
L,330,316,1590,11,144,63443
M,350,311,1216,3,96,64439
H,291,314,1682,21,153,35765
H,333,304,2497,20,133,17970
L,308,306,2292,74,89,88410
L,342,301,2825,24,36,89345
M,256,316,2659,49,85,63592
H,316,301,2512,45,183,68420
H,293,313,1513,25,234,97398
H,277,320,1279,66,77,95164
M,271,306,2756,61,225,10922
M,274,304,2112,30,88,24890
L,275,303,1623,25,223,98772
H,333,303,2833,17,145,90412
L,276,303,1216,76,107,64873
H,322,318,1723,32,55,39752
M,293,303,1670,44,17,70048
L,264,309,1255,77,151,21427
L,276,318,2014,77,250,72402
L,300,320,2917,28,116,19972
L,290,318,1949,46,158,81939
L,282,309,1104,73,156,85236
M,267,317,2332,56,185,29842
M,275,314,2994,45,225,82981
L,254,313,2880,26,6,85360
L,270,319,1679,77,102,77073
M,343,305,1133,31,209,22005
L,320,318,1770,16,118,51694
L,334,307,1926,30,222,59375
L,327,304,2442,65,113,22057
M,279,313,1323,66,105,41639
H,317,306,2771,43,113,20307
H,257,313,2104,65,37,81766
M,321,312,1823,73,51,84961
L,267,310,2095,48,252,77858
L,304,307,2709,7,91,78095
H,329,303,1377,45,253,92625
L,347,303,2231,75,234,65661
L,276,309,1295,59,187,76645
L,327,306,1624,42,233,65866
L,260,309,2780,29,91,18761
M,318,317,2992,64,164,87258
H,316,315,1480,71,131,69428
H,303,304,2797,4,243,55411
M,297,318,2083,21,114,92628
M,257,312,1159,32,213,56493
M,261,302,1845,13,231,25755
M,297,318,2479,69,35,36814
H,348,308,2306,35,66,19469
H,305,307,1257,11,1,90519
H,260,313,2258,65,169,52972
M,324,308,2301,51,76,93464
L,278,308,1778,56,103,79649
H,271,302,2436,14,168,99310
L,299,309,2533,76,27,63361
H,337,314,2828,53,163,53442
M,275,305,1933,33,176,28008
M,301,306,1670,68,149,68919
M,272,307,2436,46,83,54562
H,329,311,2657,27,242,13014
M,278,319,1416,49,244,69980
M,320,303,2879,11,192,52709
L,279,304,2271,22,254,96791
M,254,300,1581,64,253,58236
M,310,307,1868,25,176,66797
M,253,304,2727,75,199,63254
H,275,308,2888,54,36,48331
M,263,308,1642,75,50,76231
M,294,319,1454,59,31,97985
M,267,313,2547,80,108,22463
L,278,312,1155,55,98,92260
H,343,301,2511,45,32,68616
L,350,307,1179,20,5,73843
M,295,308,1849,61,122,55872
H,299,307,2214,18,107,56191
H,310,303,1675,54,99,69627
M,292,308,1715,31,204,77050
H,325,315,1702,20,114,31313
H,338,308,2877,33,87,92221
M,295,317,1591,45,210,48106
H,294,311,2324,26,220,44815
H,263,305,2204,54,227,50564
H,290,316,1657,74,157,17839
L,312,316,2982,61,87,82112
H,254,313,1439,54,185,23577
H,316,313,1993,28,247,49341
M,337,305,2841,69,182,34099
L,348,300,1518,20,58,85002
L,310,312,2017,4,182,54518
M,343,304,1862,24,38,90771
L,281,318,1382,59,28,14911
H,304,302,2548,34,189,93479
L,265,309,1891,50,8,12766
L,277,319,1692,53,214,38091
L,281,302,1958,5,10,86175
H,349,309,1985,4,170,43827
L,254,320,2427,15,8,78483
M,262,317,2962,56,176,89065
L,272,311,2213,22,144,46474
L,343,301,1279,52,143,12633
L,290,312,2248,62,45,89047
H,338,307,1564,74,74,83579
L,343,308,2880,34,243,20451
M,278,314,1571,71,73,48985
M,328,308,1283,78,106,42954
M,324,301,2116,6,249,13391
M,258,314,2436,71,31,94097
M,266,307,1739,30,185,46884
M,273,305,2936,72,130,41133
L,335,307,1612,37,62,60344
H,335,300,1560,52,186,69192
M,265,300,1960,66,73,58838
L,340,316,1384,25,152,31716
L,320,317,1944,25,100,45546
L,252,302,1439,31,130,98398
M,283,316,2467,39,196,61624
H,296,303,1982,64,229,81373
L,275,300,2692,18,49,31626
L,327,304,1345,37,31,99749
L,322,310,2941,18,57,91172
H,326,307,2542,35,78,13841
M,322,309,1380,27,100,61238
H,293,320,2309,61,193,93502
L,328,304,2432,79,69,82422
M,309,311,2946,44,156,57141
M,311,316,1830,66,223,73003
M,349,312,1614,22,36,82271
L,262,304,1849,16,83,90634
L,289,319,2829,41,19,50885
L,277,303,2369,25,9,48518
H,341,311,2137,75,211,55185
H,300,308,1542,14,99,90759
H,259,315,2287,16,121,17253
L,325,315,2866,8,2,43120
H,304,307,2810,34,255,88943
H,343,318,1436,42,86,38820
H,300,308,1401,31,120,57036
M,323,308,2101,75,99,59014
M,294,308,1506,46,128,85313
M,338,309,1253,72,252,75519
L,318,318,1224,29,163,47736
M,265,320,1577,8,146,31319
L,290,319,1683,26,31,88980
L,311,302,2069,12,210,27843
H,348,319,1106,20,245,48902
H,322,317,2137,73,249,58197
L,327,314,2309,67,78,44364
H,323,320,1357,19,203,28411
L,307,311,1331,31,251,80011
L,345,320,2701,12,196,21676
L,276,304,1113,70,150,33714
H,345,319,2136,19,154,76181
L,327,305,2786,78,130,86286
M,313,310,2570,63,76,72036
M,336,312,1271,3,161,61366
L,267,300,1967,27,125,20992
M,263,320,2868,3,70,83204
M,333,313,1118,6,18,93018
M,274,304,1214,68,199,55244
H,340,318,1292,15,3,76191
L,275,307,1910,46,140,97163
H,326,312,1148,12,238,78461
H,265,300,2281,65,239,69623
M,274,313,1520,78,195,52899
M,269,302,1521,23,125,22402
M,346,307,1816,20,204,68721
L,307,306,1435,22,130,26191
H,323,309,1119,36,200,91167
M,303,313,2447,75,221,45513
M,348,311,1565,39,44,49697
H,288,313,1295,10,136,52372
M,250,313,1245,67,189,48916
H,308,313,1860,36,177,35608
M,292,312,2081,77,247,73405
M,320,300,1621,8,43,68342
H,284,312,2851,20,97,88887
H,258,314,3000,29,79,16994
H,312,307,2534,13,169,64440
L,279,314,1615,17,103,81683
H,310,308,1167,68,218,58169
H,319,303,2200,61,181,13000
L,293,310,1403,74,73,74868
L,302,312,1793,25,240,10990
M,298,305,2859,13,187,24336
H,313,315,2473,3,104,79971
L,325,309,1951,35,225,62292
L,253,310,1731,9,238,47857
M,307,314,1919,32,242,89995
H,315,314,1671,50,234,43612
H,267,316,1396,10,184,58738
L,338,305,2620,5,213,70904
H,290,315,2893,23,189,48674
H,321,313,2358,16,239,22687
M,304,300,2091,20,193,28386
L,256,315,2524,73,51,18873
M,252,311,1454,6,111,17440
H,265,301,1498,73,143,13091
H,315,312,1313,43,173,44926
L,262,320,1214,68,119,75053
M,333,302,2647,55,206,69456
L,303,310,2154,11,189,89975
H,321,311,2774,41,67,78004
M,298,301,1989,28,199,16710
L,324,318,2476,60,66,56663
M,347,313,2564,23,143,14409
M,287,309,1841,30,37,43672
M,287,310,2185,32,130,12669
M,319,320,1585,11,56,77103
H,266,309,1969,49,222,82140
H,331,310,1481,10,142,82039
L,330,312,2317,58,57,54912
M,325,317,1413,19,29,91061
H,282,320,1481,80,10,27423
M,347,316,1850,77,108,18499
H,276,302,1741,42,22,50453
M,325,314,2631,61,182,49046
L,269,311,1356,63,147,18989
M,306,313,2508,24,185,90573
M,277,303,1307,51,62,58647
L,329,316,1136,42,33,60316
L,254,301,2556,11,240,48056
H,310,316,1322,74,31,65602
H,299,316,2166,60,228,18391
H,335,307,2264,19,197,11236
L,300,306,1872,6,46,64762
L,289,303,2935,13,217,87105
M,268,307,2921,36,50,59142
L,307,304,2530,3,240,46745
M,316,302,2000,22,214,50413
L,291,301,2787,77,37,21471
M,325,319,1726,59,249,98324
L,257,301,2680,64,221,42229
L,312,306,1150,5,238,12539
M,318,316,1540,38,30,16663
L,343,316,2624,16,16,15667
L,327,309,2138,13,172,17368
L,347,312,1251,10,28,79463
L,350,312,2270,76,53,36451
M,320,314,1597,41,93,22665
L,334,314,2844,58,41,78232
H,332,315,2618,47,203,64646
L,299,301,1487,9,245,51822
L,267,308,1429,14,90,33851
M,258,311,2026,66,175,76302
M,288,316,2858,80,153,88961
L,348,309,1247,61,140,61337
M,323,312,2622,75,6,74492
M,290,300,1986,41,49,96158
H,258,317,1409,51,191,62373
L,288,310,1715,5,140,37696
L,301,312,2683,49,145,29779
M,331,311,2883,79,232,68347
H,262,308,1673,77,240,34268
M,326,303,2190,14,79,52497
H,263,308,2226,47,197,14419
L,304,312,2162,39,35,32964
H,301,311,1148,54,101,26858
M,343,304,2295,29,100,35192
L,326,308,2503,38,65,71842
H,279,317,2887,4,195,63569
M,273,313,2031,47,28,76374
L,298,318,2017,48,173,86990
M,322,318,1189,9,75,65005
L,322,308,2592,59,238,57367
H,337,304,1348,40,121,23247
M,334,303,2614,11,226,77185
H,296,314,1523,24,91,35247
M,279,300,1460,69,239,45776
H,277,319,2311,65,152,89976
M,323,316,2216,40,224,66075
M,314,318,1691,33,29,62846
M,299,304,1398,53,194,68012
M,258,301,2933,55,134,43762
M,306,300,2779,13,24,31704
M,259,303,1374,36,14,52003
L,273,306,2099,31,167,83742
L,280,316,2119,21,143,70069
L,325,311,1504,40,174,16601
M,308,316,2185,50,182,46217
M,262,300,1861,21,50,27993
M,336,319,2664,29,181,13977
L,282,308,2858,76,208,61498
M,348,305,2960,76,204,17624
L,290,312,2135,70,102,24140
L,300,315,2778,58,197,93196
L,290,303,2666,69,95,66995
L,314,304,2765,71,4,71239
M,341,313,2634,6,236,61170
M,331,319,2957,18,39,80453
L,295,304,2106,25,81,81122
L,334,316,2510,78,171,18343
M,346,307,1600,28,192,59002
L,303,309,1595,6,61,59459
M,263,313,1882,40,108,79163
H,316,314,2963,62,151,33791
M,292,319,1379,75,4,39342
H,293,311,2072,51,166,88757
M,326,306,2202,53,104,70548
M,292,306,2287,73,89,75585
M,337,317,2839,54,65,72007
M,271,315,2684,61,168,21259
L,275,306,1696,26,50,59899
M,264,318,2482,12,82,82356
H,278,300,2410,77,120,92124
H,344,319,1468,79,44,29957
M,280,300,2008,5,119,84706
M,284,305,2940,30,225,68802
M,268,302,2911,18,48,67270
H,325,306,2472,44,172,88580
M,316,317,2375,5,78,86079
M,280,318,2191,58,38,38169
H,333,313,2609,75,250,13339
L,324,300,1518,50,14,31691
M,305,303,2519,69,65,92228
L,308,311,1990,47,32,30792
L,331,315,1829,45,203,74782
M,326,311,2583,76,209,47927
M,276,302,1315,56,218,49075
M,264,309,2934,62,88,42430
L,341,316,2523,19,13,31316
H,284,306,2871,23,101,79322
M,313,302,2325,32,193,15950
M,269,314,2756,52,14,78113
H,333,310,1329,55,21,62516
H,290,303,2282,74,65,64228
L,263,313,1703,71,87,80268
H,282,302,2653,29,179,96293
L,337,304,2208,7,208,34634
M,320,318,1199,57,59,28864
H,283,304,1112,18,118,56940
M,308,320,2883,13,71,41181
M,313,301,2341,28,254,22740
H,265,312,1443,31,60,17313
H,289,316,1805,53,54,72284
L,346,308,2053,58,95,25997
L,331,317,2063,48,201,11948
H,286,317,2198,35,206,27453
M,297,312,1266,54,2,75497
H,295,310,2779,54,150,12913
H,323,320,1289,57,161,28155
M,269,305,1918,62,237,12623
L,321,314,1515,79,216,19654
L,342,312,2927,11,33,58701
H,295,313,1634,73,247,31032
M,258,320,1998,42,157,55406
M,334,302,2752,15,221,83088
L,270,318,2881,41,122,77604
H,336,308,1830,30,42,19179
L,256,315,2167,38,220,50454
M,270,307,2118,44,143,12357
M,252,310,2864,12,142,62057
L,284,313,2750,66,184,94651
M,329,300,2688,30,2,91727
H,342,303,2500,23,198,73841
H,310,305,1626,62,90,92120
L,313,307,1498,55,63,16296
L,310,311,2386,19,225,76141
M,288,308,1119,24,255,73484
L,339,306,2072,54,130,77292
M,332,317,1198,52,37,94233
H,307,307,1517,51,16,74252
L,313,308,1523,66,47,98647
L,319,314,2030,20,203,14263
L,337,304,2402,47,222,95610
M,346,302,2078,33,52,89963
L,327,304,2355,6,60,91284
M,275,302,2647,73,41,83523
M,325,310,1511,50,213,79243
L,345,311,2469,72,123,88955
L,319,308,1288,37,122,61316
L,277,309,1404,77,58,12683
H,339,313,2974,4,234,29357
M,323,319,1820,35,103,53012
L,340,316,1509,61,193,15098
L,335,310,2733,69,103,65289
M,262,309,1830,52,43,74897
L,286,302,1579,18,202,53096
M,316,317,2484,30,160,76564
L,326,311,1125,26,153,75750
M,339,317,1728,7,6,50398
H,279,310,1937,11,17,39980
H,267,318,1189,63,241,58475
H,260,309,2962,52,255,13990
L,270,307,2367,8,190,45744
H,324,312,1580,39,41,91829
M,282,303,2398,75,216,46062
H,326,320,2870,4,206,47790
M,325,308,1457,6,193,33283
M,313,309,2294,70,189,84963
L,255,312,1336,77,37,30687
H,337,312,1538,29,58,35568
M,288,319,2119,79,202,68524
H,322,319,2259,13,251,57128
H,307,320,1647,40,115,35148
L,270,318,1806,37,61,45983
H,301,306,2661,11,115,96181
M,310,313,2879,31,146,79852
M,308,307,1964,7,70,53965
L,283,307,1208,8,63,87713
L,308,312,1224,67,82,91611
M,277,313,1752,47,104,87517
M,276,301,2556,49,61,52421
M,327,318,2560,16,81,36634
L,314,313,1483,71,176,78521
H,333,320,2259,78,130,27144
L,329,313,2817,49,206,91877
M,271,318,2104,59,8,83861
M,329,309,1129,15,37,84714
L,340,307,1281,32,170,88896
H,305,310,2550,36,134,26157
M,301,309,1245,39,91,98907
L,336,300,1175,67,203,25532
L,303,319,2413,25,183,33286
L,341,318,2801,7,236,74962
H,281,301,1614,15,49,76741
L,274,310,2250,17,185,70879
M,283,316,1575,20,176,20276
L,261,316,1547,9,115,98899
M,307,300,1313,66,149,72938
